Evaluator,Reviewer 1,Reviewer 2,Project,Class,Comment,comment length,summary,Expand,rational,deprecation,usage,exception,todo,Incomplete,Commented code,directive,formatter,License,Ownership,Pointer,Auto generated,Noise,Warning,Recommendation,Precondition,Coding Guidelines,Extension,Subclass explnation,Observation
E4,E1 (agree),,hadoop,TonyRuntimeFactory.java,* Implementation of RuntimeFactory with Tony Runtime,1-3,Implementation of RuntimeFactory with Tony Runtime,,,,,,,,,,,,,Implementation of RuntimeFactory with Tony Runtime,,,,,,,,,
E4,E1 (agree),,,TestEditLogFileOutputStream.java,* Test the EditLogFileOutputStream,1-3,Test the EditLogFileOutputStream,,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,TestMetricsVisitor.java,* Test the metric visitor interface,1-3,Test the metric visitor interface,,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,TestS3BucketManager.java,* Tests for S3 Bucket Manager.,1-3,Tests for S3 Bucket Manager.,,,,,,,,,,,,,Tests for S3 Bucket Manager.,,,,,,,,,
E4,E1 (agree),,,TestKeyInputStream.java,* Tests {@link KeyInputStream}.,1-3,Tests {@link KeyInputStream}.,,,,,,,,,,,,,Tests {@link KeyInputStream}.,,,,,,,,,
E4,E1 (agree),,,ReInitializeContainerRequestPBImpl.java,CHECKSTYLE:OFF,1-3,,,,,,,,,,CHECKSTYLE:OFF,,,,,,,,,,,,,
E4,E1 (agree),,,LRUCacheHashMap.java,* LRU cache with a configurable maximum cache size and access order.,1-3,LRU cache with a configurable maximum cache size and access order.,LRU cache with a configurable maximum cache size and access order.,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,TestDataDrivenDBInputFormat.java,"import org.apache.hadoop.examples.DBCountPageView;|
* Test aspects of DataDrivenDBInputFormat",1-3,Test aspects of DataDrivenDBInputFormat,,,,,,,,import org.apache.hadoop.examples.DBCountPageView;|,,,,,,,,,,,,,,
E4,E1 (agree),,,TestMetricsVisitor.java,* Test the metric visitor interface,1-3,Test the metric visitor interface,,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,VolumeSet.java,* VolumeSet to manage HDDS volumes in a DataNode.,1-3,VolumeSet to manage HDDS volumes in a DataNode.,,,,,,,,,,,,,VolumeSet to manage HDDS volumes in a DataNode.,,,,,,,,,
E4,E1 (agree),,,MetaBlockAlreadyExists.java,* Exception - Meta Block with the same name already exists.,1-3,Exception - Meta Block with the same name already exists.,,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,LogWebService.java,* Support only ATSv2 client only.,1-3,,,,Support only ATSv2 client only,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,TestAddBlock.java,* Test AddBlockOp is written and read correctly,1-3,Test AddBlockOp is written and read correctly,Test AddBlockOp is written and read correctly,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,ProcessIdFileReader.java,* Helper functionality to read the pid from a file.,1-3,Helper functionality to read the pid from a file.,,,,,,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,Parser.java,A class for parsing outputs,1-3,A class for parsing outputs,,,,,,,,,,,,,,,,,,,,,,
