Evaluator,Reviewer 1,Reviewer 2,Project,Class,Comment,comment length,summary,Expand,rational,deprecation,usage,exception,todo,Incomplete,Commented code,directive,formatter,License,Ownership,Pointer,Auto generated,Noise,Warning,Recommendation,Precondition,Coding Guidelines,Extension,Subclass explnation,Observation
E3,,E4 (agree),Spark,RemoveBlocks.java,Request to remove a set of blocks.,1,Request to remove a set of blocks.,,,,,,,,,,,,,,,,,,,,,,
E3,,E4 (agree),,JavaRecord.java, Java Bean class to be used with the example JavaSqlNetworkWordCount. ,1,,,,, Java Bean class to be used with the example JavaSqlNetworkWordCount. ,,,,,,,,,,,,,,,,,,
E3,,E4 (agree),,TBoolColumn.java," The set of fields this struct contains, along with convenience methods for finding and manipulating them. ",1," The set of fields this struct contains, along with convenience methods for finding and manipulating them. ",,,,,,,,,,,,,,,,,,,,,,
E3,,E4 (agree),,FlatMapFunction.java,"
 * A function that returns zero or more output records from each input record.",2,"
 * A function that returns zero or more output records from each input record.",,,,,,,,,,,,,,,,,,,,,,
E3,E1,,,LevelDB.java," * Implementation of KVStore that uses LevelDB as the underlying data store.
 | Needs to be public for Jackson. ",3, * Implementation of KVStore that uses LevelDB as the underlying data store.,,,,,,,,,,,,,,,,,, | Needs to be public for Jackson. ,,,,
E3,E1,,,LocalDiskShuffleDataIO.java,"
 * Implementation of the {@link ShuffleDataIO} plugin system that replicates the local shuffle
 * storage and index file functionality that has historically been used from Spark 2.4 and earlier.",4,"
 * Implementation of the {@link ShuffleDataIO} plugin system that replicates the local shuffle
 * storage and index file functionality that has historically been used from Spark 2.4 and earlier.",,,,,,,,,,,,,{@link ShuffleDataIO} ,,, that has historically been used from Spark 2.4 and earlier.,,,,,,
E3,E1,,,StreamHandle.java,"
 * Identifier for a fixed number of chunks to read from a stream created by an ""open blocks""
 * message. This is used by {@link org.apache.spark.network.shuffle.OneForOneBlockFetcher}.",4," Identifier for a fixed number of chunks to read from a stream created by an ""open blocks""
 * message",,,,,,,,,,,,, This is used by {@link org.apache.spark.network.shuffle.OneForOneBlockFetcher}.,,,,,,,,,
E3,E1,,,MessageWithHeader.java,"
 * A wrapper message that holds two separate pieces (a header and a body).
 *
 * The header must be a ByteBuf, while the body can be a ByteBuf or a FileRegion.
 ",5, * A wrapper message that holds two separate pieces (a header and a body).,,,,,,,,,,,,,,,,,,"The header must be a ByteBuf, while the body can be a ByteBuf or a FileRegion.",,,,
E3,E2,,,UploadBlockStream.java,"
 * A request to Upload a block, which the destination should receive as a stream.
 *
 * The actual block data is not contained here.  It will be passed to the StreamCallbackWithID
 * that is returned from RpcHandler.receiveStream()",6," * A request to Upload a block, which the destination should receive as a stream.","  * The actual block data is not contained here.  It will be passed to the StreamCallbackWithID
 * that is returned from RpcHandler.receiveStream()",,,,,,,,,,,,,,,  * The actual block data is not contained here.,,,,,,
E3,E2,,,ChunkFetchSuccess.java,"
 * Response to {@link ChunkFetchRequest} when a chunk exists and has been successfully fetched.
 *
 * Note that the server-side encoding of this messages does NOT include the buffer itself, as this
 * may be written by Netty in a more efficient manner (i.e., zero-copy write).
 * Similarly, the client-side decoding will reuse the Netty ByteBuf as the buffer.",7,"
 * Response to {@link ChunkFetchRequest} when a chunk exists and has been successfully fetched."," * Similarly, the client-side decoding will reuse the Netty ByteBuf as the buffer.",,,,,,,,,,,,,,," * Note that the server-side encoding of this messages does NOT include the buffer itself, as this
 * may be written by Netty in a more efficient manner (i.e., zero-copy write).
 * Similarly, the client-side decoding will reuse the Netty ByteBuf as the buffer.",,,,,,
