Evaluator,Reviewer 1,Reviewer 2,Project,Class,Comment,comment length,summary,Exapnd,rational,deprecation,usage,exception,todo,Incomplete,Commented code,directive,formatter,License,Ownership,Pointer,Auto generated,Noise,Warning,Recommendation,Precondition,Coding Guidelines,Extension,Subclass explnation,Observation
E1,,E4 (agree),Eclipse,AddBreakpointRulerAction.java, * Ruler action to add breakpoint with a dialog properties.,3,Ruler action to add breakpoint with a dialog properties.,,,,,,,,,,,,,,,,,,,,,,
E1,,E4 (disagree),,BindingClassifierTest.java, * Tests for {@link BindingClassifier}.,3,Tests for {@link BindingClassifier}.,,,,,,,,,,,,,{@link BindingClassifier},,,,,,,,,
E1,,E4 (agree),,CDebugModelPresentation.java, * @see IDebugModelPresentation,3,,,,,,,,,,,,,,@see IDebugModelPresentation,,,,,,,,,
E1,,E4 (agree),,CElementDelta.java, * @see ICElementDelta,3,,,,,,,,,,,,,,@see ICElementDelta,,,,,,,,,
E1,,E4 (agree),,CPPASTProblem.java," * C++-specific implementation allows actions to visit the problem.
 ",3,C++-specific implementation allows actions to visit the problem.,,,,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,CPPASTReferenceOperator.java, * Reference operator for declarators.,3,Reference operator for declarators,,,,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,CPropertyTester.java, * A property tester that determines if a file is an executable or a C/C++ project.,3,A property tester that determines if a file is an executable or a C/C++ project.,,,,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,DOMParserTestSuite.java, * @author jcamelon,3,,,,,,,,,,,,,@author jcamelon,,,,,,,,,,
E1,E2 (agree),,,DsfDebugUITools.java, * @since 1.1,3,,,,@since 1.1,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,DummyPage.java, This class is just to replace a category reference in org.eclipse.cdt.ui that| we exclude because we do not bring in the org.eclipse.cdt.managedbuild.ui plug-in.,1,This class is just to replace a category reference in org.eclipse.cdt.ui,,that| we exclude because we do not bring in the org.eclipse.cdt.managedbuild.ui plug-in.,,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,IBHistoryAction.java, * Action used for the include browser forward / backward buttons,3,Action used for the include browser forward / backward buttons,,,,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,MachOBinaryParserPage.java, * @noextend This class is not intended to be subclassed by clients.,3,,,,,@noextend This class is not intended to be subclassed by clients.,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,AutotoolsProblemMarkerInfo.java,"
 * @noextend This class is not intended to be subclassed by clients.",2,,,,,@noextend This class is not intended to be subclassed by clients,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ManageConfigRunner.java, * @noextend This class is not intended to be subclassed by clients.,3,,,,,@noextend This class is not intended to be subclassed by clients,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,PDOMMacroReferenceName.java," * Represents declarations, definitions and references to bindings, except for macros.",3,"Represents declarations, definitions and references to bindings, except for macros.",,,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,RenameCSourceFolderChange.java, * @author EE4 Graf IFS,3,,,,,,,,,,,,,@author EE4 Graf IFS,,,,,,,,,,
E1,,E3 (disagree),,ReturnCheckerTest.java, * Test for {@see ReturnCheckerTest} class,3,Test for {@see ReturnCheckerTest} class,,,,,,,,,,,,, * Test for {@see ReturnCheckerTest} class,,,,,,,,,
E1,,E3 (agree),,SourceDocumentProvider.java, * SourceDocumentProvider,3,,,,,,,,SourceDocumentProvider,,,,,,,,,,,,,,,
E1,,E3 (agree),,SpellEvent.java,"
 * Spell event fired for words detected by a spell check iterator.",3,Spell event fired for words detected by a spell check iterator.,,,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,StringDialogField.java,"
 * Dialog field containing a label and a text control.",3,Dialog field containing a label and a text control.,,,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,TriggerCellModifier.java,"
 * Cell modifier used to edit the trigger value.",3,Cell modifier used to edit the trigger value.,,,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,WordIgnoreProposal.java, * Proposal to ignore the word during the current editing session.,3,Proposal to ignore the word during the current editing session.,,,,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,CPPDeferredFunction.java," * Represents a reference to a (member) function (instance), which cannot be resolved because
 * an argument depends on a template parameter. A compiler would resolve it during instantiation.",4,"Represents a reference to a (member) function (instance), which cannot be resolved because an argument depends on a template parameter.",A compiler would resolve it during instantiation.,,,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,CPPTemplates.java," * Collection of static methods to perform template instantiation, member specialization and
 * type instantiation.
 ",4,"Collection of static methods to perform template instantiation, member specialization and type instantiation.",,,,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,DefaultFortranDependencyCalculator.java,"*
 *  This class implements the Dependency Manager and Output Name Provider interfaces
 *  for a very ""quick & dirty"" ifort tool-chain on Win32",4,"This class implements the Dependency Manager and Output Name Provider interfaces for a very ""quick & dirty"" ifort tool-chain on Win32",,,,,,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,DOMGCCParserExtensionTestSuite.java,"*
 * @author jcamelon
 *",4,,,,,,,,,,,,,@author jcamelon,,,,,,,,,,
E1,,E4 (agree),,GCCKeywords.java," * @noextend This interface is not intended to be extended by clients.
 * @noinstantiate This class is not intended to be instantiated by clients.",4,,,,,"@noextend This interface is not intended to be extended by clients.
  @noinstantiate This class is not intended to be instantiated by clients.",,,,,,,,,,,,,,,,,,
