,,,,,,,Categories,,,,,,,,,,,,,,,,,,,,,,
Evaluator,Reviewer 1,Reviewer 2,Project,Class,Comment,comment length,summary,Exapnd,rational,deprecation,usage,exception,todo,Incomplete,Commented code,directive,formatter,License,Ownership,Pointer,Auto generated,Noise,Warning,Recommendation,Precondition,Coding Guidelines,Extension,Subclass explnation,Observation
E3,,E4 (agree),Vaadin,AbstractSingleComponentContainerState.java," * Default shared state implementation for AbstractSingleComponentContainer.
 *
 * @since 8.0",5,Default shared state implementation for AbstractSingleComponentContainer,,,@since 8.0,,,,,,,,,,,,,,,,,,,
E3,,E4 (agree),,ComboBoxState.java," * Shared state for the ComboBox component.
 *
 * @since 7.0",5, Shared state for the ComboBox component.,,,@since 7.0,,,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,GridManyColumnsV7.java, * Test UI for Grid initial rendering performance profiling.,3, Test UI for Grid initial rendering performance profiling,,,,,,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,NotEmptyValidatorTest.java," * @author Vaadin Ltd
 *",4,,,,,,,,,,,,,@author Vaadin Ltd,,,,,,,,,,
E3,E1 (agree),,,QueryBuilder.java," * @deprecated As of 8.0, no replacement available.",3,,,," @deprecated As of 8.0, no replacement available.",,,,,,,,,,,,,,,,,,,
E3,,E2 (agree),,RequiredTextFieldTest.java," * Test for .v-required style
 *
 * @author Vaadin Ltd",5, Test for .v-required style,,,,,,,,,,,,@author Vaadin Ltd,,,,,,,,,,
E3,,E2 (agree),,SimpleGridUI.java," * @author Vaadin Ltd
 *",4,,,,,,,,,,,,,@author Vaadin Ltd,,,,,,,,,,
E3,,E2 (agree),,VGridLayout.java,"     * Private helper class.
     | For internal use only. May be removed or replaced in the future. ",3,Private helper class.,,,,,,,,,,,,,,,, For internal use only. May be removed or replaced in the future. ,,,,,,
E3,,E4 (agree),,AdjacentElementsWithTooltipsTest.java," * Test to see if tooltips obey quickOpenDelay when moving between directly
 * adjacent elements.
 *
 * @author Vaadin Ltd",6,Test to see if tooltips obey quickOpenDelay when moving between directly adjacent elements.,,,,,,,,,,,,@author Vaadin Ltd,,,,,,,,,,
E3,,E4 (disagree),,ClientRpcWriter.java," * Serializes {@link ClientRpc client RPC} invocations to JSON.
 *
 * @author Vaadin Ltd
 * @since 7.1",6, Serializes {@link ClientRpc client RPC} invocations to JSON,,,@since 7.1,,,,,,,,,@author Vaadin Ltd,,,,,,,,,,
E3,,E4 (agree),,ColorPickerServerRpc.java," * RPC interface for AbstractColorPicker.
 *
 * @since 7.0.0
 *",6, * RPC interface for AbstractColorPicker.,,, * @since 7.0.0,,,,,,,,,,,,,,,,,,,
E3,E1 (disagree),,,DoubleRangeValidator.java," * Validator for validating that a {@link Double} is inside a given range.
 *
 * @author Vaadin Ltd.
 * @since 8.0",6,* Validator for validating that a {@link Double} is inside a given range.,,,@since 8.0,,,,,,,,,* @author Vaadin Ltd., Serializes {@link ClientRpc client RPC} invocations to JSON,,,,,,,,,
E3,E1 (agree),,,HeaderRow.java," * A header row in a Grid.
 *
 * @author Vaadin Ltd
 * @since 8.0",6, A header row in a Grid.,,,@since 8.0,,,,,,,,,@author Vaadin Ltd,,,,,,,,,,
E3,,E2 (agree),,SpacerVisibilityChangedEvent.java,"* Event fired when a spacer element is hidden or shown in Escalator.
 *
 * @author Vaadin Ltd
 * @since 7.7.13",6,,,Event fired when a spacer element is hidden or shown in Escalator.,@since 7.7.13,,,,,,,,,@author Vaadin Ltd,,,,,,,,,,
