Evaluator,Reviewer,Reviewer 2,class,Comment,Comment size,Intent,Responsibilities,Collaborators,Key messages,Key implementation points,Instance variables,ReferenceToOtherResources,Subclasses Explanation,Class references,Example,Todo comments,Coding guidlines,Warnings,Discourse,Links,Extensions,Recommendations,Observations,Preconditions,Dependencies,License/copyright ,Other
E1,E2 (Agree),,GtSnippetRequest,I am sent by snippet widget looks when they request to receive a snippet model from the widget model,1,I am sent by snippet widget looks when they request to receive a snippet model from the widget model,I am sent by snippet widget looks when they request to receive a snippet model from the widget model,,,,,,,,,,,,,,,,,,,,
E1,E2 (Agree),,BrPagerPagePreviewResizeListener,I update the size of a page preview element in a scroll bar according to the size of a corresponding page,1,,I update the size of a page preview element in a scroll bar according to the size of a corresponding page,,,,,,,,,,,,,,,,,,,,
E1,E2 (Agree),,BlExampleCustomEventTarget,I am an example of a custom non-element event target that can be nicely integrated in bloc infrastructure,1,I am an example of a custom non-element event target, that can be nicely integrated in bloc infrastructure,,,,,,,,,,,,,,,,,,,,
E1,E2 (disagree),E3 (agree with E2),BrTabAddedEvent,I am sent when a new tab is added to ${class:BrTabGroupModel},1,,I am sent when a new tab is added to ${class:BrTabGroupModel},I am sent when a new tab is added to ${class:BrTabGroupModel},,,,,,${class:BrTabGroupModel},,,,,,,,,,,,,
E1,E2 (Agree),,BlUniverseEventsCleared,Emitted when all of the event loop's events have been processed and control flow is about to be taken away from the Universe.,1,,Emitted when all of the event loop's events have been processed and control flow is about to be taken away from the Universe.,,,,,,,,,,,,,,,,,Emitted when all of the event loop's events have been processed and control flow is about to be taken away from the Universe.,,,
E1,E2 (disagree),E3 (agree with E2),BlGeometryAnchorMoved,I am sent when anchor's position changed,1,,I am sent when anchor's position changed,,,,,,,,,,,,,,,,,,,,
E1,E2 (Agree),,GlutinResumedEvent,Emitted when the application has been resumed.,1,,Emitted when the application has been resumed.,,,,,,,,,,,,,,,,,Emitted when the application has been resumed.,,,
E1,E2 (Agree),,BlLocalImageCacheTest,This class contains tests,1,,This class contains tests,,,,,,,,,,,,,,,,,,,,
E1,E2 (Agree),,TSpFontDescriptor,"I am a helper trait that defines basic font properties such as weight, style and stretch",1,I am a helper trait ,"that defines basic font properties such as weight, style and stretch",,,,,,,,,,,,,,,,,,,,
E1,E2 (Agree),,BrTextEditorCursorElementRemovedEvent,I am sent by the text editor element when an element playing a role of the cursor is removed from the editor,1,I am sent by the text editor element,I am sent by the text editor element when an element playing a role of the cursor is removed from the editor,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),GtRlNode,I am an abstraction for a type of dependency in the loading configuration of a system.,1,I am an abstraction for a type of dependency in the loading configuration of a system.,I am an abstraction for a type of dependency in the loading configuration of a system.,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),GtDiagrammerDummyTool,I am a dummy tool that does nothing,1,I am a dummy tool, that does nothing,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),BlMouseMiddleButton,I am a middle mouse button. Often can be triggered by mouse wheel click,1,I am a middle mouse button.,Often can be triggered by mouse wheel clic,,,,,,,,,,,,,,,,,,,,
E1,,E3 (disagree),BlInfiniteExampleClassesDataSource,I am a data source of the collection of all classes in the image,1,I am a data source of the collection of all classes in the image,,I am a data source of the collection of all classes in the image,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),BlExampleElementWithBrokenOnLayout,I am an element with a broken onLayout method that throws Error (SubscriptOutOfBounds),1,I am an element with a broken onLayout method ,that throws Error (SubscriptOutOfBounds),,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),BlAnchorRelativeToElement,Relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,1,,Relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),BrLook,I define how widgets look. In addition to the BrViewModel I listen to UI events and update decoration (non meaningful) elements of the widgets,1,,I define how widgets look. In addition to the BrViewModel I listen to UI events and update decoration (non meaningful) elements of the widgets, In addition to the BrViewModel I listen to UI events and update decoration (non meaningful) elements of the widgets,,,,,,BrViewModel,,,,,,,,,,,,,
E1,,E3 (agree),BlElementPositionChangeTest,I contain examples of position change logging functionality,1,,I contain examples of position change logging functionality,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),GtLibraryInstallerMorph,Top most container of the whole installer,1,Top most container of the whole installer,,,,,,,,,,,,,,,,,,,,,
E1,,E3 (disagree),GtGraphTreemapLayoutConstraints,I am a ${class:BlLayoutConstraints}$ for ${class:GtGraphTreemapSquarifiedLayout}$ layout.,1,I am a ${class:BlLayoutConstraints}$ for ${class:GtGraphTreemapSquarifiedLayout}$ layout.,,I am a ${class:BlLayoutConstraints}$ for ${class:GtGraphTreemapSquarifiedLayout}$ layout.,,,,,, ${class:BlLayoutConstraints}$ for ${class:GtGraphTreemapSquarifiedLayout}$,,,,,,,,,,,,,
E2,,E1 (disagree),BlKeyCombinationConverterCNF,I transform composite key combination formula into a CNF (https://en.wikipedia.org/wiki/Conjunctive_normal_form),1,,I transform composite key combination formula into a CNF (https://en.wikipedia.org/wiki/Conjunctive_normal_form),,I transform composite key combination formula into a CNF (https://en.wikipedia.org/wiki/Conjunctive_normal_form),,,I transform composite key combination formula into a CNF (https://en.wikipedia.org/wiki/Conjunctive_normal_form),,,,,,,,(https://en.wikipedia.org/wiki/Conjunctive_normal_form),,,,,,,
E2,,E1 (agree),BlCompulsoryCombinationTest,This class contains tests,1,,This class contains tests,,,,,,,,,,,,,,,,,,,,
E2,,E1 (agree),SpUserFontSource,I represent a font face source and know how to retrieve font contents from it,1,I represent a font face source ,and know how to retrieve font contents from it,,,,,,,,,,,,,,,,,,,,
E2,,E1 (disagree),BlArrowheadExamples,I contain examples of different types of ==BlArrowheadElement==,1,,I contain examples of different types of ==BlArrowheadElement==,,,,,,,BlArrowheadElement,,,,,,,,,,,,,
E2,,E1 (agree),BlChickenLeg,I am a single red chicken leg with two toes,1,I am a single red chicken leg with two toes,,,,,,,,,,,,,,,,,,,,,
E2,,E1 (agree),BlGeometryElement,I am a root class of geometry elements - elements driven by geometry anchors.,1,I am a root class of geometry elements,I am a root class of geometry elements - elements driven by geometry anchors.,,,,,,,,,,,,,,,,,,,,
E2,,E1 (agree),GtDiagrammerStarStencil,I create a star element,1,,I create a star element,,,,,,,,,,,,,,,,,,,,
E2,,E1 (disagree),BrSelectionRequest,I am sent by a look to request selection update from the view model,1,,I am sent by a look to request selection update from the view model,,,,,,,,,,,,,,,,,,,,
E2,,E1 (agree),BlSelection,I represent a text selection defined as interval [from...to],1,I represent a text selection defined as interval [from...to],,,,,,,,,,,,,,,,,,,,,
E2,,E1 (disagree),BrMaterialToggleBackgroundLook,I describe how background of a material toggle button changes due to toggle events,1,,I describe how background of a material toggle button changes due to toggle events,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),SkiaFilterSourceCanvas,When canvas is a source of a filter we should take its snapshot,1,,,,,,,,,,,,,,,,,,When canvas is a source of a filter we should take its snapshot,,,,
