Evaluator,Reviewer,Reviewer 2,class,Comment,Comment size,Intent,Responsibilities,Collaborators,Key messages,Key implementation points,Instance variables,ReferenceToOtherResources,Subclasses Explanation,Class references,Example,Todo comments,Coding guidlines,Warnings,Discourse,Links,Extensions,Recommendations,Observations,Preconditions,Dependencies,License/copyright ,Other
E1,E2 (agree),,RTHistogramSet,The histogram gives you a distribution frequency over the points given. Frequency on y and a collection of values per bars on x.  ,1,,The histogram gives you a distribution frequency over the points given. Frequency on y and a collection of values per bars on x.  ,,,,,,,,,,,,,,,,,,,,
E1,E2 (agree),,RTAbstractStackedDataSet,A data set is a set of points intended to be charted. A data set has to be added to a RTGrapher.  Look at the class comment of my subclasses for detail.,1,A data set is a set of points intended to be charted,,A data set has to be added to a RTGrapher. ,,,, Look at the class comment of my subclasses for detail.,,,,,,,,,,,,A data set has to be added to a RTGrapher. ,,,
E1,E2 (agree),,RTSVGVisitor2Test,I am a simple test class for RTSVGVisitor2,1,I am a simple test class for RTSVGVisitor2,,,,,,,,RTSVGVisitor2,,,,,,,,,,,,,
E1,,E3 (agree),MorphicRoassalAdapter,I am bridging RoassalModel and RTView,1,,I am bridging RoassalModel and RTView,I am bridging RoassalModel and RTView,,,,,,"RoassalModel
RTView",,,,,,,,,,,,,
E1,,E3 (agree),RTEllipseTest,A RTEllipseTest is a test class for testing the behavior of RTEllipse,1,A RTEllipseTest is a test class, for testing the behavior of RTEllipse,,,,,,,,,,,,,,,,,,,,
E1,,E3 (agree),RTSVGBitmap,"NOT WORKING, REFRAIN FROM USAGE",1,,,,,,,,,,,,,"NOT WORKING, REFRAIN FROM USAGE",,,,,,,,,
E1,E2 (agree),,RTDualAttachPoint,I am a new class to combine attach points,1,I am a new class, to combine attach points,,,,,,,,,,,,,,,,,,,,
E2,,E1 (agree),RTAttachPoint,I am the superclass of the class hierarchy describing attach points. An attach point indicates where lines start and end. ,1,I am the superclass of the class hierarchy describing attach points.,An attach point indicates where lines start and end.,,,,,,,,,,,,,,,,,,,,
E2,,E1 (agree),RTHorizontalData,RTData renders bars and dots in vertical way,1,,RTData renders bars and dots in vertical way,,,,,,,,,,,,,,,,,,,,
E2,,E1 (agree),RTPlatformPopup,I am a basic class to have the platform popup instead of the roassal popup (RTPopup),1,I am a basic class to have the platform popup instead of the roassal popup (RTPopup),,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),RTLinePathBuilder,An interpolator a way to create lines in SVG,1,,An interpolator a way to create lines in SVG,,,,,,,,,,,,,,,,,,,,
E2,,E3 (agree),RTCircleTree,I am a class helper to do the layout in RTCircularTreeMapBuilder,1,I am a class helper ,to do the layout in RTCircularTreeMapBuilder,RTCircularTreeMapBuilder,,,,,,,,,,,,,,,,,,,
