Evaluator,Reviewer ,Reviewer 2,Convention,Class,Comment,comment length,Summary,Usage,Parameters,Expand,Version,Development Notes,Todo,Exception,Links,Noise,warning,Recommendation,Dependecies,Precondition,Coding Guidelines,Extension,Subclass explaination,Observation
E1,E2 (agree),,https://jupyter.readthedocs.io/en/latest/development_guide/documenting_ipython.html,Obj,Namespace to hold arbitrary information.,1,Namespace to hold arbitrary information.,,,,,,,,,,,,,,,,,
E1,,E3 (agree),Numpy convention,capture_output,context manager for capturing stdout/err,1,context manager for capturing stdout/err,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,CellMagicRole,Cross reference role displayed with a %% prefix,1,Cross reference role displayed with a %% prefix,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,TBTools,Basic tools used by all traceback printer classes.,1,Basic tools used by all traceback printer classes.,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,CapturingDisplayPublisher,"
A DisplayPublisher that store",1,"
A DisplayPublisher that store",,,,,,,,,,,,,,,,,
E3,E2 (agree),,,HelpEnd,Transformer for help syntax: obj? and obj??,1,Transformer for help syntax: obj? and obj??,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,RichPromptDisplayHook,"
Subclass of base display hook using coloured prompt",1,Subclass of base display hook using coloured prompt,,,,,,,,,,,,,,,,,
E4,E2 (agree),,,IPythonInputSplitter,"
An input splitter that recognizes all of IPython's special syntax.",1,An input splitter that recognizes all of IPython's special syntax.,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,CellMagicRole,Cross reference role displayed with a %% prefix,1,Cross reference role displayed with a %% prefix,,,,,,,,,,,,,,,,,
E2,,E4 (agree),,MyFrame,"
This is MyFrame.  It just shows a few controls on a wxPanel,
and has a simple menu.",2,"
This is MyFrame.  It just shows a few controls on a wxPanel,
and has a simple menu.",,,,,,,,,,,,,,,,,
E3,,E4 (agree),,DummyMod,"
A dummy module used for IPython's interactive module when
a namespace must be assigned to the module's __dict__.",2,"A dummy module used for IPython's interactive module when
a namespace must be assigned to the module's __dict__.",,,,,,,,,,,,,,,,,
E4,,E3 (agree),,LazyEvaluate,"This is used for formatting strings with values that need to be updated
at that time, such as the current time or working directory.",2,,,,,,"This is used for formatting strings with values that need to be updated
at that time, such as the current time or working directory.",,,,,"This is used for formatting strings with values that need to be updated
at that time, such as the current time or working directory.",,,,,,,
E1,E2 (agree),,,DisplayHook,"The custom IPython displayhook to replace sys.displayhook.

This class does many things, but the basic idea is that it is a callable
that gets called anytime user code returns a value.",3,The custom IPython displayhook to replace sys.displayhook.,,,"This class does many things, but the basic idea is that it is a callable
that gets called anytime user code returns a value.",,,,,,,,,,,,,,
E2,E1 (agree),,,HistoryAccessor,"
Access the history database without adding to it.

This is intended for use by standalone history tools. IPython shells use
HistoryManager, below, which is a subclass of this.",4,"
Access the history database without adding to it.
","
This is intended for use by standalone history tools. IPython shells use
HistoryManager, below, which is a subclass of this.",,,,,,,,,,,,,,,,
E3,E1 (agree),,,GeoJSON,"
GeoJSON expects JSON-able dict

not an already-serialized JSON string.

Scalar types (None, number, string) are not allowed, only dict containers.",5,"GeoJSON expects JSON-able dict
",,,,,"not an already-serialized JSON string.

Scalar types (None, number, string) are not allowed, only dict containers.",,,,,"not an already-serialized JSON string.

Scalar types (None, number, string) are not allowed, only dict containers.",,,,,,,
E4,E1 (disagree),E3 (agree with E1),,UserMagics,"
Placeholder for user-defined magics to be added at runtime.

All magics are eventually merged into a single namespace at runtime, but we
use this class to isolate the magics defined dynamically by the user into
their own class.",5,Placeholder for user-defined magics to be added at runtime.,,,"All magics are eventually merged into a single namespace at runtime, but we
use this class to isolate the magics defined dynamically by the user into
their own class.",,"All magics are eventually merged into a single namespace at runtime, but we
use this class to isolate the magics defined dynamically by the user into
their own class.",,,,,"All magics are eventually merged into a single namespace at runtime, but we
use this class to isolate the magics defined dynamically by the user into
their own class.",,,,,,,
