Evaluator,Reviewer ,Reviewer 2,Convention,Class,Comment,comment length,Summary,Usage,Parameters,Expand,Version,Development Notes,Todo,Exception,Links,Noise,Warnings,Recommendation,Dependecies,Precondition,Coding Guidelines,Extension,Subclass explnation,Observation
E4,,E3 (disagree),"not specificed , we take PEP",HashCash,Try to collide a hash using the SMTorP algorithm,1,Try to collide a hash using the SMTorP algorithm,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,Group,View groups,1,View groups,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,ListTags,List tags,1,List tags,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,Vcard,Display a single vcard,1,Display a single vcard,,,,,,,,,,,,,,,,,
E4,E1 (disagree),,,Rescan,Add new messages to index,1,Add new messages to index,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,EncryptedUnicodeDict,EncryptedDict which only deals in unicode values.,1,EncryptedDict which only deals in unicode values.,,,,,,,,,,,,,,,,,
E2,,E4 (agree),,ContactSet,"Set contact lines, ensuring contact exists",1,"Set contact lines, ensuring contact exists",,,,,,,,,,,,,,,,,
E1,,E3 (agree),,AutocryptSearch,Search for the Autocrypt database.,1,Search for the Autocrypt database.,,,,,,,,,,,,,,,,,
E4,E2 (agree),,,MailpileMailbox,A Maildir class for Windows (using ! instead of : in filenames),1,A Maildir class for Windows (using ! instead of : in filenames),,,,,,,,,,,,,,,,,
E3,,E4 (agree),,OldPostingList,A posting list is a map of search terms to message IDs.,1,A posting list is a map of search terms to message IDs.,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,Util,Utility functions for builds,1,Utility functions for builds,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,ConnectToGuiOMatic,Connect to a waiting gui-o-matic GUI,1,Connect to a waiting gui-o-matic GUI,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,Forward,Create forwarding drafts of one or more messages,1,Create forwarding drafts of one or more messages,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,VCardSet,"Add a lines to a VCard, ensuring VCard exists",1,"Add a lines to a VCard, ensuring VCard exists",,,,,,,,,,,,,,,,,
E2,,E3 (agree),,MoveFilter,Move an auto-tagging rule,1,Move an auto-tagging rule,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,AutoTlsConnBroker,"This broker tries to auto-upgrade connections to use TLS, or at
least do the SSL handshake here so we can record info about it.",2,"This broker tries to auto-upgrade connections to use TLS, or at
least do the SSL handshake here so we can record info about it.",,,,,,,,,,,,,,,,,
E4,E1 (agree),,,MailpileVFS,"This is a router object that implements the VFS interface but,
delegating calls to individual implementations.",2,"This is a router object that implements the VFS interface but,
delegating calls to individual implementations.",,,,,,,,,,,,,,,,,
E3,E1 (agree),,,Event,"This is a single event in the event log. Actual interpretation and
rendering of events should be handled by the respective source class.",2,This is a single event in the event log.,,," Actual interpretation and
rendering of events should be handled by the respective source class.",,,,,,,," Actual interpretation and
rendering of events should be handled by the respective source class.",,,,,,
E2,,E4 (agree),,MailpileJinjaLoader,"
A Jinja2 template loader which uses the Mailpile configuration
and plugin system to find template files.",2,"""
A Jinja2 template loader which uses the Mailpile configuration
and plugin system to find template files.""",,,,,,,,,,,,,,,,,
E1,,E3 (agree),,EncryptedIntDict,"
EncryptedDict which only deals in signed 64-bit int values.
This also adds a working keys() function.",2,"
EncryptedDict which only deals in signed 64-bit int values.",,,This also adds a working keys() function.,,,,,,,,,,,,,,
E4,E2 (agree),,,ConfigureMailboxes,"
Add one or more mailboxes.

If not account is specified, the mailbox is only assigned an ID for use
in the metadata index.

If an account is specified, the mailbox will be assigned to that account
and configured for automatic indexing.",8,Add one or more mailboxes.,,,,,"If not account is specified, the mailbox is only assigned an ID for use
in the metadata index.

If an account is specified, the mailbox will be assigned to that account
and configured for automatic indexing.",,,,,,,,,,,,
