Evaluator,Reviewer ,Reviewer 2,Convention,Class,Comment,comment length,Summary,Usage,Parameters,Expand,Version,Development Notes,Todo,Exception,Links,Noise,Warning,Recommendation,Dependecies,Precondition,Coding Guidelines,Extension,Subclass Explanation,Observation
E1,E2 (agree),,https://pandas.pydata.org/pandas-docs/stable/development/contributing_docstring.html#docstring,AbstractEngine,Object serving as a base class for all engines.,1,Object serving as a base class for all engines.,,,,,,,,,,,,,,,,,
E1,,E3 (agree),Pandas and  Numpy doccstrings,AbstractHolidayCalendar,Abstract interface to create holidays following certain rules.,1,Abstract interface to create holidays following certain rules.,,,,,,,,,,,,,,,,,
E1,E3 (agree with E4),E4 (disagree),,BusinessHour,DateOffset subclass representing possibly n business hours.,1,DateOffset subclass representing possibly n business hours.,,,,,,,,,,,,,,,,DateOffset subclass representing possibly n business hours.,
E2,E1 (agree),,,BusinessMixin,Mixin to business types to provide related functions.,1,Mixin to business types to provide related functions.,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,BYearBegin,DateOffset increments between business year begin dates.,1,DateOffset increments between business year begin dates.,,,,,,,,,,,,,,,,,
E2,,E4 (disagree),,CheckingBuildExt,Subclass build_ext to get clearer report if Cython is necessary.,1,,,,,,,,,,,,,,,,,Subclass build_ext to get clearer report if Cython is necessary.,
E3,E1 (agree),,,DataIndexableCol,represent a data column that can be indexed ,1,represent a data column that can be indexed ,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,NonConsolidatableMixIn,hold methods for the nonconsolidatable blocks ,1,hold methods for the nonconsolidatable blocks ,,,,,,,,,,,,,,,,,
E3,,E4 (agree),,TermValue,hold a term value the we use to construct a condition/filter ,1,hold a term value the we use to construct a condition/filter ,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,TestDatetimelikeSubtype,Tests specific to IntervalIndex with datetime-like subtype,1,Tests specific to IntervalIndex with datetime-like subtype,,,,,,,,,,,,,,,,,
E4,E2 (agree),,,AccessorDocumenter,Specialized Documenter subclass for accessors.,1,Specialized Documenter subclass for accessors.,,,,,,,,,,,,,,,,,
E4,,E3 (agree),,TestFromArrays,Tests specific to IntervalIndex.from_arrays,1,Tests specific to IntervalIndex.from_arrays,,,,,,,,,,,,,,,,,
E1,E2 (agree),,,TestFromTuples,Tests specific to IntervalIndex.from_tuples,1,Tests specific to IntervalIndex.from_tuples,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,TestSorted,everything you wanted to test about sorting ,1,everything you wanted to test about sorting ,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,Holiday,"Class that defines a holiday with start/end dates and rules
for observance.",2,"Class that defines a holiday with start/end dates and rules
for observance.",,,,,,,,,,,,,,,,,
E2,,E3 (agree),,AccessorCallableDocumenter,"This documenter lets us removes .__call__ from the method signature for
callable accessors like Series.plot",2,"This documenter lets us removes .__call__ from the method signature for
callable accessors like Series.plot",,,,,,,,,,,,,,,,,
E3,E1 (agree),,,TestPeriodIndexSeriesComparisonConsistency,"Test PeriodIndex and Period Series Ops consistency 
TODO: needs parametrization+de-duplication",2,Test PeriodIndex and Period Series Ops consistency ,,,,,,TODO: needs parametrization+de-duplication,,,,,,,,,,,
E3,E2 (agree),,,SQLiteTable,"Patch the SQLTable for fallback support.
Instead of a table variable just use the Create Table statement.",2,Patch the SQLTable for fallback support.,,,,,Instead of a table variable just use the Create Table statement.,,,,,Instead of a table variable just use the Create Table statement.,,,,,,,
E4,E1 (disagree),E3 (agree with E1),,SetopCheck,"This is called to decorate the set operations of IntervalIndex
to perform the type check in advance.",2,"This is called to decorate the set operations of IntervalIndex
to perform the type check in advance.",,,,,"This is called to decorate the set operations of IntervalIndex
to perform the type check in advance.",,,,,,,,,,,,
E4,E2 (agree),,,_MergeOperation,"Perform a database (SQL) merge operation between two DataFrame or Series
objects using either columns as keys or their row indexes",2,,Perform a database (SQL) merge operation between two DataFrame or Series objects using either columns as keys or their row indexes,,,,,,,,,,,,,,,,
E1,,E4 (agree),,UnsortedIndexError,"Error raised when attempting to get a slice of a MultiIndex,
and the index has not been lexsorted. Subclass of `KeyError`.",2,"Error raised when attempting to get a slice of a MultiIndex,
and the index has not been lexsorted.",,,Subclass of `KeyError`.,,,,,,,,,,,,,,
E1,E2 (agree),,,CythonCommand,"
Custom distutils command subclassed from Cython.Distutils.build_ext
to compile pyx->c, and stop there. All this does is override the
C-compile method build_extension() with a no-op.",4,"Custom distutils command subclassed from Cython.Distutils.build_ext
to compile pyx->c, and stop there.",,,,,,,,,,,,,,,,"All this does is override the
C-compile method build_extension() with a no-op.",
E2,,E4 (disagree),,Base,"
Common tests for all variations of IntervalIndex construction. Input data
to be supplied in breaks format, then converted by the subclass method
get_kwargs_from_breaks to the expected format.",4,"
Common tests for all variations of IntervalIndex construction. ",,,"Input data to be supplied in breaks format, then converted by the subclass method get_kwargs_from_breaks to the expected format.",,"Input data
to be supplied in breaks format, then converted by the subclass method
get_kwargs_from_breaks to the expected format.",,,,,,,,"Input data
to be supplied in breaks format, then converted by the subclass method
get_kwargs_from_breaks to the expected format.",,,,
E2,E1 (agree),,,BaseInterfaceTests,"
Tests that the basic interface is satisfied.
------------------------------------------------------------------------
    Interface
    ------------------------------------------------------------------------",5,"
Tests that the basic interface is satisfied.
------------------------------------------------------------------------
    Interface
    ------------------------------------------------------------------------",,,,,,,,,,,,,,,,,
E3,,E4 (agree),,SQLTable,"
For mapping Pandas tables to SQL tables.
Uses fact that table is reflected by SQLAlchemy to
do better type conversions.
Also holds various flags needed to avoid having to
pass them between functions all the time.
TODO: support for multiIndex",7,For mapping Pandas tables to SQL tables.,,,"Uses fact that table is reflected by SQLAlchemy to
do better type conversions.
Also holds various flags needed to avoid having to
pass them between functions all the time.",,,TODO: support for multiIndex,,,,,,,,,,,
