Evaluator,Reviewer 1,Reviewer 2,convention,Class,Comment,comment length,Summary,Usage,Parameters,Expand,Version,Development Notes,Todo,Exception,Links,Noise,Warnings,Recommendation,Dependecies,Precondition,Coding Guidelines,Extension,Subclass explnation,Observation
E3,E2 (agree),,"https://docs.djangoproject.com/en/dev/internals/contributing/writing-code/coding-style/
",HiddenRangeWidget,"A widget that splits input into two <input type=""hidden""> inputs.",1,"A widget that splits input into two <input type=""hidden""> inputs.",,,,,,,,,,,,,,,,,
E3,E2 (agree),,https://www.python.org/dev/peps/pep-0257/,AmbiguityError,More than one migration matches a name prefix.,1,More than one migration matches a name prefix.,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,BadSignature,Signature does not match.,1,Signature does not match.,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,Group,Table Column Fields,1,Table Column Fields,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,MemcachedCache,An implementation of a cache binding using python-memcached,1,An implementation of a cache binding using python-memcached,,,,,,,,,,,,,,,,,
E3,E1 (disagree),,,MemoryFileUploadHandler,File upload handler to stream uploads into memory (used for small files).,1,File upload handler to stream uploads into memory (used for small files).,,,,,,,,,,,,,,,,,(used for small files)
E3,,E4 (agree),,NestedObjectsTests,Tests for ``NestedObject`` utility collection.,1,Tests for ``NestedObject`` utility collection.,,,,,,,,,,,,,,,,,
E3,,E4 (agree),,DatabaseReceiver,Used in the tests for the database argument in signals (#13552),1,Used in the tests for the database argument in signals (#13552),,,,,,,,,,,,,,,,,
E3,,E4 (agree),,LogoutThenLoginTests,Tests for the logout_then_login view,1,Tests for the logout_then_login view,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,ArchiveIndexView,Top-level archive of date-based items.,1,Top-level archive of date-based items.,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,FrenchTestCase,Tests using the French translations of the sampleproject.,1,Tests using the French translations of the sampleproject.,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,MyModel,Model subclass with a custom base using metaclass.,1,Model subclass with a custom base using metaclass.,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,BarAccount,A service-specific account of type Bar.,1,A service-specific account of type Bar.,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,XFrameOptionsDecoratorsTests,Tests for the X-Frame-Options decorators.,1,Tests for the X-Frame-Options decorators.,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,Dumpdata,Tests for dumpdata management command.,1,Tests for dumpdata management command.,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,KMLSitemap,A minimal hook to produce KML sitemaps.,1,A minimal hook to produce KML sitemaps.,,,,,,,,,,,,,,,,,
E2,,E4 (agree),,SimpleView,A simple view with a docstring.,1,A simple view with a docstring.,,,,,,,,,,,,,,,,,
E2,,E4 (agree),,CustomArticleAdmin,Tests various hooks for using custom templates and contexts.,1,Tests various hooks for using custom templates and contexts.,,,,,,,,,,,,,,,,,
E2,,E4 (agree),,NestedObjectsTests,Tests for ``NestedObject`` utility collection.,1,Tests for ``NestedObject`` utility collection.,,,,,,,,,,,,,,,,,
