Evaluator,Reviewer ,Reviewer 2,Convention,Class,Comment,comment length,Summary,Usage,Parameters,Expand,Version,Development Notes,Todo,Exception,Links,Noise,warnings,Recommendation,Dependecies,Precondition,Coding Guidelines,Extension,Subclass explanation,Observation
E3,E2 (agree),,https://pipenv.kennethreitz.org/en/latest/dev/contributing/,_MovedItems,Lazy loading of moved objects,1,Lazy loading of moved objects,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,BrokenStdoutLoggingError,Raised if BrokenPipeError occurs for the stdout stream while logging.,1,Raised if BrokenPipeError occurs for the stdout stream while logging.,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,ColoredString,Enhanced string for __len__ operations on Colored output.,1,Enhanced string for __len__ operations on Colored output.,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,CommandError,Raised when there is an error in command-line arguments,1,Raised when there is an error in command-line arguments,,,,,,,,,,,,,Raised when there is an error in command-line arguments,,,,
E3,E1 (agree),,,ConnectionError,A Connection error occurred.,1,A Connection error occurred.,,,,,,,,,,,,,,,,,
E3,E1 (agree),,,CONSOLE_SCREEN_BUFFER_INFO,struct in wincon.h.,1,struct in wincon.h.,,,,,,,,,,,,,,,,,
E3,,E4 (agree),,ConvertingTuple,A converting tuple wrapper.,1,A converting tuple wrapper.,,,,,,,,,,,,,,,,,
E3,,E4 (agree),,Date,A date literal.,1,A date literal.,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,ExtractError,General exception for extract errors.,1,General exception for extract errors.,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,Filter,Alphabetizes attributes for elements,1,Alphabetizes attributes for elements,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,Filter,Sanitizes token stream of XHTML+MathML+SVG and of inline style attributes,1,Sanitizes token stream of XHTML+MathML+SVG and of inline style attributes,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,HTTPError,An HTTP error occurred.,1,An HTTP error occurred.,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,InCellPhase,http://www.whatwg.org/specs/web-apps/current-work/in-cell,1,,,,,,,,,http://www.whatwg.org/specs/web-apps/current-work/in-cell,,,,,,,,,
E2,,E3 (agree),,InsecurePlatformWarning,Warned when certain SSL configuration is not available on a platform.,1,Warned when certain SSL configuration is not available on a platform.,,,,,,,,,,,,,,,,,
