Evaluator,Reviewer ,Reviewer 2,Convention,Class,Comment,comment length,Summary,Usage,Parameters,Expand,Version,Development Notes,Todo,Exception,Links,Noise,Warning,Recommendation,Dependecies,Precondition,Coding Guidelines,Extension,Subclass explnation,Observation
E1,E2 (agree),,https://github.com/pytorch/pytorch/blob/master/CONTRIBUTING.md,EnforceUnique,Raises an error if a key is seen more than once.,1,Raises an error if a key is seen more than once.,,,,,,,,,,,,,,,,,
E1,E2 (agree),,Google Style,BaseTestCase,Base class used for all TensorBoard tests ,1,Base class used for all TensorBoard tests ,,,,,,,,,,,,,,,,,
E3,E1 (agree),,https://sphinxcontrib-napoleon.readthedocs.io/en/latest/example_google.html,ExceptionWrapper,Wraps an exception plus traceback to communicate across threads,1,Wraps an exception plus traceback to communicate across threads,,,,,,,,,,,,,,,,,
E3,E2 (agree),,,StackedLSTMWithDropout,"Necessary for iterating through self.layers and dropout support
 ",1,Necessary for iterating through self.layers and dropout support,,,,,,,,,,,,,,,,,
E2,E1 (agree),,,ResNetBuilder,Helper class for constructing residual blocks.,1,Helper class for constructing residual blocks.,,,,,,,,,,,,,,,,,
E2,,E3 (agree),,UploadTaskGroupBuilder,A simple class to upload checkpoints.,1,A simple class to upload checkpoints.,,,,,,,,,,,,,,,,,
E4,E1 (agree),,,SharedCache,"
dictionary from multiprocessing handles to StorageWeakRef",1,dictionary from multiprocessing handles to StorageWeakRef,,,,,,,,,,,,,,,,,
E4,E2 (agree),,,TestQuantizedLinear,Tests the correctness of the quantized linear and linear_relu op.,1,Tests the correctness of the quantized linear and linear_relu op.,,,,,,,,,,,,,,,,,
E1,,E3 (agree),,TestBuiltins,Tests for TorchScript support of Python builtin functions.,1,Tests for TorchScript support of Python builtin functions.,,,,,,,,,,,,,,,,,
E1,,E4 (agree),,UploadTaskGroupBuilder,A simple class to upload checkpoints,1,A simple class to upload checkpoints,,,,,,,,,,,,,,,,,
E3,,E4 (disagree),,cuFFTPlanCacheAttrContextProp,"Like regular ContextProp, but uses the `.device_index` attribute from the
    calling object as the first argument to the getter and setter.",2,"Like regular ContextProp, but uses the `.device_index` attribute from the calling object as the first argument to the getter and setter.",,"Like regular ContextProp, but uses the `.device_index` attribute from the calling object as the first argument to the getter and setter.",,,,,,,,,,,,,,,
E3,E1 (disagree),,,DeQuantStub,"
Dequantize stub module, before calibration, this is same as identity,
this will be swapped as `nnq.DeQuantize` in `convert`.",2,"Dequantize stub module, before calibration, this is same as identity,
this will be swapped as `nnq.DeQuantize` in `convert`.",,,"this is same as identity,
this will be swapped as `nnq.DeQuantize` in `convert`.",,,,,,,,,,,,,,
E2,,E4 (agree),,BoundedGradientProjection,"
Wright, S., & Nocedal, J. (1999). Numerical optimization. Springer Science,
35(67-68), 7. Chapter 16",2,,,,,,,,,"
Wright, S., & Nocedal, J. (1999). Numerical optimization. Springer Science,
35(67-68), 7. Chapter 16",,,,,,,,,
E2,E1 (disagree),,,TestYellowFin,"YellowFin: An automatic tuner for momentum SGD
    (https://arxiv.org/abs/1706.03471)",2,YellowFin: An automatic tuner for momentum SGD,,,,,,,,"YellowFin: An automatic tuner for momentum SGD
    (https://arxiv.org/abs/1706.03471)",,,,,,,,,
E4,,E3 (agree),,TaskOutput,"
Represents the output of a task. An output can be a blob,
a list of blob, or a record.",2,Represents the output of a task.,,"An output can be a blob, a list of blob, or a record.",,,,,,,,,,,,,,,
