Class,Comment,Intent,Responsibilities,Collaborators,Key messages,Key implementation points,Instance variables,ReferenceToOtherResources,Subclasses Explanation,Class references,Example,Todo comments,Naming convention,Coding guidlines,Warnings,Discourse,Links,Extensions,Recommendations,Observations,Preconditions,Dependencies,License/copyright ,Other
ZnRequestResponseHandledEvent,ZnRequestResponseHandledEvent signals that the handler (delegate) processed a request and produced a response in duration in milliseconds. This duration is thus the time taken by the application itself.,,ZnRequestResponseHandledEvent signals that the handler (delegate) processed a request and produced a response in duration in milliseconds.,ZnRequestResponseHandledEvent signals that the handler (delegate) processed a request and produced a response in duration in milliseconds.,,This duration is thus the time taken by the application itself.,,,,,,,,,,,,,,,,,,
AthensSceneView,"i am simple morph for representing some scene.
  
  The scene is any object which implements #renderOn: method,
  or a block with single argument.
  (an argument passed is an Athens canvas).
  
  I implement a simple view panning and zooming with mouse drag and mouse-wheel (correspondigly).
  
  Example1: open scene view, by passing a simple rendering block.
  
  | view |
  view := AthensSceneView new.
  
  view scene: [:canvas |
  canvas surface clear: Color black.
  canvas setPaint: Color red.
  canvas drawShape: (0@0 corner:120@100)
  ].
  view openInWindow.
  
  Example2: open scene view on imported SVG file (note you need 'Athens-SVG' package loaded):
  
  | view |
  view := AthensSceneView new.
  view scene: (AthensSVGConverter fromFile: 'lion.svg').
  
  view openInWindow.",i am simple morph for representing some scene.,I implement a simple view panning and zooming with mouse drag and mouse-wheel (correspondigly).,,,"The scene is any object which implements #renderOn: method,
 or a block with single argument.",,,,,"Example1: open scene view, by passing a simple rendering block.
  
  | view |
  view := AthensSceneView new.
  
  view scene: [:canvas |
  canvas surface clear: Color black.
  canvas setPaint: Color red.
  canvas drawShape: (0@0 corner:120@100)
  ].
  view openInWindow.
  
  Example2: open scene view on imported SVG file (note you need 'Athens-SVG' package loaded):
  
  | view |
  view := AthensSceneView new.
  view scene: (AthensSVGConverter fromFile: 'lion.svg').
  
  view openInWindow.",,,,,,,,,,,,,
NavigationHistory,I act as a web browser history,I act as a web browser history,,,,,,,,,,,,,,,,,,,,,,
GLMEmptyPopupBrick,"I am a general popup widget that also visually preserves a context of a trigger element.
  I can opened based on opening strategy (hover, shift + hover, or double click + shift).
  Subclasses should implement #onCreated method to customize popup content",I am a general popup widget that also visually preserves a context of a trigger element.,,I am a general popup widget that also visually preserves a context of a trigger element.,Subclasses should implement #onCreated method to customize popup content,,,,,,"I can opened based on opening strategy (hover, shift + hover, or double click + shift).",,,,Subclasses should implement #onCreated method to customize popup content,,,,,,,,,
ClyMethodSourcesQuery,"I return all methods which source code includes particular string pattern.
  For example it can be simple substring or regex expression.
  But generally pattern is represented by ClyStringPattern subclasses.
  
  To create my instances use following methods:
  
  ClyMethodSources withString: 'probe string'.
  ClyMethodSources withString: 'probe string' caseSensitive: true.
  ClyMethodSources filteredBy: aStringPattern
  
  Internal Representation and Key Implementation Points.
  
  Instance Variables
  pattern: <ClyStringPattern>","For example it can be simple substring or regex expression.
  But generally pattern is represented by ClyStringPattern subclasses.",I return all methods which source code includes particular string pattern.,But generally pattern is represented by ClyStringPattern subclasses.,,,"Internal Representation and Key Implementation Points.
  
  Instance Variables
  pattern: <ClyStringPattern>",,,But generally pattern is represented by ClyStringPattern subclasses.,"To create my instances use following methods:
  
  ClyMethodSources withString: 'probe string'.
  ClyMethodSources withString: 'probe string' caseSensitive: true.
  ClyMethodSources filteredBy: aStringPattern",,,,,,,,,,,,,
ManifestCollectionsSupport,"Some basic classes used in collections: Link, Associtation, Weak*, CharacterSet, SetElement, etc.",,Some basic classes used in collections,"Link, Associtation, Weak*, CharacterSet, SetElement, etc.",,,,,,,,,,,,,,,,,,,,
RePatternCodeRule,An abstract class containing common tools for match and rewrite rules,An abstract class containing common tools,for match and rewrite rules,,,,,,,,,,,,,,,,,,,,,
RBAllAnyNoneSatisfyRule,"Replace ad-hoc implementations (using explicit logic based on do:) of ==allSatisfy:==, ==anySatisfy:== and ==noneSatisfy:== by the adequate calls to ==allSatisfy:==, ==anySatisfy:== or ==noneSatisfy:==.
  
  For example
  
  [[[
  collection do: [ :each |
  ...
  condition
  ifFalse: [ ^ false ] ]
  ]]]
  is transformed into
  
  [[[
  collection allSatisfy: [ :each | condition ]
  ]]]","""Replace ad-hoc implementations (using explicit logic based on do:) of ==allSatisfy:==, ==anySatisfy:== and ==noneSatisfy:== by the adequate calls to ==allSatisfy:==, ==anySatisfy:== or ==noneSatisfy:==.",,,,,,,,,"For example
  
  [[[
  collection do: [ :each |
  ...
  condition
  ifFalse: [ ^ false ] ]
  ]]]
  is transformed into
  
  [[[
  collection allSatisfy: [ :each | condition ]
  ]]]""",,,,,,,,,,,,,
DialogWindow,"Dialog style window with no window controls (expand, collapse etc). Usually opened modally (the morph that is used to modally open determines the modal scope, use of World implies ""system modal"").
  Designed to be subclassed with content.
  Supports Escape key for cancel and Enter key for default button.","""Dialog style window with no window controls (expand, collapse etc).","Usually opened modally (the morph that is used to modally open determines the modal scope, use of World implies """"system modal""""). Supports Escape key for cancel and Enter key for default button.""",,,,,,,,,,,,,,,Designed to be subclassed with content.,,,,,,
LazyClassListExample,LazyClassListExample new openOn: Object,,,,,,,,,,LazyClassListExample new openOn: Object,,,,,,,,,,,,,
