0,36
00,1
000,1
00523,1
01,5
02,3
021,1
024,1
02453,1
025,3
04,3
05,3
06,1
08,2
08500,1
08861,1
09,3
0999,2
1,55
10,13
100,4
10044,1
101,1
11306,1
12,5
12125701,1
123,4
1234,1
123456,1
1255,3
13552,1
14,1
14126980,1
150601186,1
15938,2
16,4
170603471,1
17067,2
19073,1
19838,1
1999,4
1e,4
2,33
20,4
200,2
2000,2
2017,3
20522,3
220,2
24,1
24706,1
25798,1
27,3
28,1
2d,1
2e,1
2x3,1
3,24
30,6
300,2
301,1
302,1
303,1
307,1
308,1
31,5
32,1
33,2
35,2
36,1
3x4,1
3xx,1
4,10
400,1
44100,1
47,2
5,7
51,1
512,1
54350,1
6,5
6000,3
6010,3
64,6
7,1
79,1
7x7x7,1
8,6
85,1
8551,2
8859,1
8k16bitpcm,1
9,3
94,1
ab,4
abc,1
abil,3
abov,4
absent,1
absolut,1
abstract,2
ac,6
acc,11
acceler,2
accept,8
accord,2
account,3
acm,1
acr,1
act,3
activ,1
actu,6
ad,26
adadelt,2
adam,1
adapt,2
adapter,1
adaptivemaxpool3d,1
addit,4
addl,1
addr,3
admin,4
admindoc,1
adr,2
adv,4
aff,2
affect,1
aggreg,1
aidan,3
al,67
algorithm,5
alignm,3
allitem,1
allk,1
allvalu,1
alon,1
alph,1
alread,3
alter,2
altern,1
alw,7
ambigu,1
amplitud,4
amsgrad,1
analog,1
ancest,1
annot,1
answer,1
anyth,2
ap,19
app1,1
app2,1
appl,9
appropr,2
ar,99
arch,1
arg,12
argum,24
argv,1
arxiv,7
asc,2
ashish,3
aspect,1
assign,6
assoc,1
assum,2
astyp,3
atom,2
atomicwrapper,1
attach,1
attempt,4
attn,1
attr,45
attribut,21
au,1
aud,5
aut,3
auth,5
autocrypt,1
autodetect,1
autoenv,1
autoescap,2
autofield,3
autofieldmixin,1
autom,4
automat,4
av,1
avail,3
aver,10
averag,1
aw,1
ba,44
back,23
backoff,2
backtrack,3
bad,1
bag,5
bar,4
barh,4
batch,18
batchnorm1d,1
bckenstler,3
beatl,1
becaus,3
becom,1
befor,9
begin,4
behav,1
behavior,3
beyon,1
bfg,2
bi,2
bind,1
bit,1
black,2
blob,1
block,14
bod,2
bogon,1
bool,18
boolean,15
booleanar,2
bottom,4
bottommost,1
bound,4
box,1
boxplot,1
break,3
brew,1
brok,2
brokenpipeerror,2
broker,1
browser,1
buffer,1
build,8
builder,2
built,4
builtin,2
bulk,1
bus,1
bytecod,5
bytestr,2
bz2,3
bz2fil,2
ca,17
cach,21
cal,31
calcl,1
callback,2
caller,1
candid,2
capit,1
captur,1
car,1
card,1
carrot,1
caseinsensitivedict,1
caselesskeyword,1
catch,3
categor,22
categoricaldtyp,4
categoricalind,4
caus,2
cd,2
cdot,3
cel,2
center,3
cerberus,1
cg,2
ch,4
chain,2
chang,12
channel,7
char,2
character,2
check,7
child,5
chunk,2
ci,1
circl,1
cl,82
classif,2
claus,1
clean,3
click,1
client,2
clobber,1
clr,3
cmak,2
cmakecach,1
cmemcach,3
cod,16
coeff,3
collect,2
color,12
colormap,1
colour,1
column,8
comb,4
command,10
commanderror,1
commentcl,1
common,2
commun,1
comp,3
compact,1
comparison,1
compat,3
compil,2
compl,1
complec,2
compon,1
compr,1
comput,8
con,2
condit,1
confid,1
config,9
configdict,1
configur,5
configvalueerror,2
connect,9
connectionpool,1
const,7
constantpad3d,2
constraint,1
construc,17
cont,1
contact,1
container,3
context,12
contigu,1
contrib,1
control,4
conv,3
conv1,2
conv2d,2
conv3d,2
conver,11
converg,1
convolut,3
cook,3
cop,7
cor,1
correct,3
correl,1
correspon,1
cosm,1
count,2
covar,2
cr,19
crash,1
creat,7
crit,1
criter,4
crypt,1
cub,1
