,abilita,acc,access,accesso,accus,activ,addit,address,affect,age,ambulatori,amend,anagrafica,analysi,annulla,applic,appoint,assign,attribut,authent,averag,beat,biolog,birth,blood,book,box,btn,calcul,cancel,cap,card,carri,cartella,certif,chang,charact,check,choic,chronolog,citi,class,clin,clinic,clinica,codic,complet,complianc,concern,conclud,conduct,confirm,consid,contact,correct,creat,creation,criteria,data,databa,date,dati,day,deal,decid,deem,defin,del,delet,dell,descript,detail,dettag,diagnosi,diagnost,dioptr,displac,display,dispo,doctor,draw,easi,edit,elenco,elimin,elimina,enabl,enter,error,esam,esami,esegui,evalu,event,examin,execut,fail,failur,field,find,finish,fiscal,folder,form,function,gap,generat,gestion,grid,ground,gui,guid,handler,hc,heart,held,highlight,histori,hospit,ica,identifi,ill,implement,includ,inclus,indic,input,insert,instrument,invalid,issu,ital,laboratori,laboratorio,leav,list,locat,log,login,logout,main,manag,mask,medi,medic,medici,medicin,medico,meet,memori,messag,method,modif,modifi,modifica,monitor,nb,note,notifi,notifica,numer,observ,obtain,occur,op,oper,option,organ,outpati,panel,paramet,parametri,password,patholog,patient,paz,pazient,pend,perform,person,physician,piani,piano,pin,plan,possess,prenota,prenotaz,prenotazion,prenotazioni,prescrib,pressur,prima,princip,print,printer,procedur,proceed,process,proper,provid,provinc,realiz,reason,receiv,recogn,record,recruit,refer,regist,registr,reinsert,relat,remain,rememb,rent,report,repr,request,requir,reserv,resid,resoconto,retriev,review,ricontrollata,risultati,ritorna,run,save,search,select,seleziona,send,seq,sequenc,serv,servic,set,settiman,sex,signatur,special,specif,stampa,start,step,storag,store,subject,success,successo,summari,support,surnam,survey,tabular,task,tax,tb,telephon,tempi,test,therapi,time,tipo,tower,train,transfer,type,uc,undergon,underpin,undo,updat,uscita,user,val,valid,valida,valu,vat,verifi,version,view,visit,visita,visualizza,week,zip
1.txt,0,0,0,0,0,0.0136728148990419,0.0322589743672145,0.0645179487344289,0.0383523337497265,0.0322589743672145,0,0,0.136680039848052,0.0487690004163932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141655827613165,0.0487690004163932,0,0,0,0,0,0.108107238082416,0,0,0,0.0487690004163932,0,0,0,0,0,0.0340290264655719,0,0,0,0,0.0152024126941385,0,0,0.0410922754771619,0,0,0,0.0816059851998948,0,0,0,0,0,0,0.0410922754771619,0,0,0,0,0,0,0,0,0,0,0,0.0169055244887518,0,0,0,0,0,0,0,0,0,0.184053652862971,0,0,0,0,0,0,0,0.0293501155326527,0,0.0163161127349355,0.0292432804381,0,0.0360357460274718,0,0,0.0218423077005478,0,0,0,0,0,0,0,0,0,0,0,0,0.0383523337497265,0,0,0,0,0,0,0,0.0292432804381,0,0.0584865608762001,0.0436846154010956,0,0.0534655588032044,0,0.0383523337497265,0.196657995423865,0,0,0,0,0,0,0,0,0,0.00561318839720523,0,0,0,0,0,0,0,0.0202589421438285,0,0,0.0256190793608052,0,0,0.0383523337497265,0.0340290264655719,0.0195257199782931,0,0,0,0,0,0.0181585894233113,0.0497163362480856,0.0360357460274718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444456931322385,0,0.0322589743672145,0,0,0,0.0146750577663263,0,0,0,0,0,0.0340290264655719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256190793608052,0,0,0,0,0,0,0,0,0.0163161127349355,0,0,0,0,0,0,0,0,0,0,0.0340290264655719,0,0.0273456297980839,0,0,0,0,0,0,0,0,0,0.0360357460274718,0,0,0,0,0,0,0,0,0,0.0163161127349355,0,0.0292432804381,0,0,0,0,0.0181585894233113,0,0,0,0.0487690004163932,0.0227012885358809,0,0.00875543527075837,0,0,0,0,0
10.txt,0,0,0,0,0,0.0198877307622428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206044840164603,0,0,0,0,0,0,0,0,0,0.0557852127268749,0,0,0,0.0372641154338984,0,0,0,0,0,0.0469221445341301,0,0.0442252005647666,0,0,0,0,0,0,0.0215817481520383,0,0,0,0,0,0,0,0,0,0.2141214119812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11157042545375,0,0,0,0,0,0,0,0,0,0.0294675522092051,0.021345538569202,0,0.0237325276144517,0,0,0,0,0.0425356806372364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163292753373243,0,0,0,0,0,0,0,0,0,0,0.0372641154338984,0,0,0,0,0.0284010472411537,0,0,0,0,0,0.0264124937066347,0.0929760054509653,0,0,0,0,0,0,0,0,0.0122326503342061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646482809196197,0,0,0,0,0,0,0,0.021345538569202,0.0812673951507196,0,0,0.0524156305854136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425356806372364,0,0,0,0,0,0,0.0821524964571638,0,0,0,0,0,0.0237325276144517,0,0,0,0,0,0,0,0,0,0,0,0,0.0198877307622428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237325276144517,0,0,0,0.0446190673607203,0,0,0.0264124937066347,0,0,0,0,0.0330200560521903,0,0.0382055357269456,0.196553949907427,0,0,0,0
11.txt,0,0,0,0,0,0.0142672851120438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147814776639824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267329523764924,0,0,0,0,0,0.0336615384701368,0,0.0317267743182021,0.057247679790162,0,0,0,0,0,0.0619302338275882,0,0,0,0,0,0,0,0,0,0,0,0,0.0278950741581936,0,0,0.0463781145727707,0,0,0,0,0.0246389841379881,0,0,0,0,0.0400198265214538,0,0,0.0320093309326906,0,0,0,0,0.0428788961500819,0,0.169118125722395,0.0153131037561666,0,0.0170255089408023,0.0305147274136696,0,0,0,0.0305147274136696,0.0227919732527455,0,0,0,0,0,0,0,0,0,0,0,0.0428788961500819,0,0,0,0,0,0,0,0,0,0,0.122058909654678,0.0455839465054911,0,0.0278950741581936,0,0,0.0256510428813737,0,0,0,0,0,0,0,0,0,0.00585724006664894,0,0,0,0,0,0,0,0.0211397657152993,0,0,0.0267329523764924,0,0,0,0,0.0203746643251754,0,0,0,0,0,0.0189480933112814,0.0667001778235186,0,0,0.0123641687364123,0,0,0,0,0,0.026326790936661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153131037561666,0.0874507839121873,0,0.057247679790162,0,0.139134343718312,0,0.0305147274136696,0,0,0,0,0,0,0.0378961866225628,0,0,0,0,0.0305147274136696,0,0,0,0.0267329523764924,0,0,0,0,0,0,0,0,0.0170255089408023,0.0219441198614273,0,0,0,0,0,0,0,0.0355085493553794,0,0.0355085493553794,0,0.0142672851120438,0,0,0.10177878347769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227919732527455,0.0170255089408023,0,0.0305147274136696,0,0.0320093309326906,0,0.0428788961500819,0.0189480933112814,0,0,0.0428788961500819,0,0.0236883010809192,0,0.00913610636948699,0.0256374717270557,0,0,0,0
12.txt,0,0,0,0,0,0.0145843358923114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151099549454043,0,0,0.0344095726583621,0,0,0.145792042504589,0,0,0,0.0409091559997083,0,0,0,0.0546540359697177,0,0,0,0,0,0.0344095726583621,0,0.0324318137474955,0.0585198504521656,0,0,0,0,0,0.0395665382787369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474087393410545,0,0,0,0,0.0251865171188322,0,0,0,0,0,0,0,0,0,0,0,0,0.0438317605089727,0,0.194485844580754,0.0156533949507481,0,0.0174038535839312,0.0311928324673067,0,0,0,0.0623856649346134,0.023298461547251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046596923094502,0,0.0285149646950423,0,0,0.0262210660565154,0,0,0,0,0,0,0,0,0,0.00598740095701891,0,0,0,0,0,0,0,0.0216095382867504,0,0.0409091559997083,0.0273270179848589,0,0,0,0,0,0,0,0,0,0,0.0193691620515321,0.0833340493301244,0,0,0,0,0,0,0,0,0.017941220490169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438317605089727,0.0156533949507481,0.0595960897771943,0,0,0.03843812909597,0.0474087393410545,0,0.0311928324673067,0,0.0409091559997083,0,0,0,0,0.0193691620515321,0,0,0,0,0.0311928324673067,0,0,0,0.0273270179848589,0,0,0.0401634427123912,0,0,0,0,0,0.0174038535839312,0.0224317669694591,0,0,0,0,0,0,0,0,0,0,0,0.0145843358923114,0,0,0,0,0,0,0,0,0,0,0,0.0409091559997083,0,0,0,0,0,0,0.023298461547251,0.0174038535839312,0.0585198504521656,0.0311928324673067,0,0.0654412987957231,0,0,0.0193691620515321,0,0,0.0438317605089727,0,0.0242147077716062,0,0.0186782619109512,0,0,0,0,0
13.txt,0,0,0,0,0,0.0208347655604449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215856499220061,0,0,0,0,0,0.029753478062161,0,0,0,0.0584416514281547,0,0,0,0.0390385971212269,0,0,0,0,0,0.0491565323690887,0.0835997863602365,0.0463311624964221,0,0,0,0,0,0,0.0113047252224963,0,0,0,0,0,0,0,0,0,0.160226906924708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116883302856309,0,0,0,0,0,0,0,0,0,0.216095382867504,0.022361992786783,0,0.0248626479770446,0,0,0,0,0.0445611892390096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171068598771969,0,0,0,0,0,0,0,0,0,0,0.0390385971212269,0,0.0743146673011705,0,0,0.029753478062161,0,0,0,0,0,0.0276702315021887,0.0865808304728565,0,0,0,0,0,0,0,0,0.0128151574929778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677267704872206,0,0,0,0,0,0,0,0.022361992786783,0.0851372711102776,0,0,0.0549116129942428,0,0,0.0445611892390096,0,0,0,0,0,0,0,0,0,0,0,0.0891223784780192,0,0,0,0,0,0,0.0860645200979811,0,0,0,0,0,0.0248626479770446,0,0,0,0,0,0,0,0,0,0,0,0,0.0208347655604449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248626479770446,0.0835997863602365,0,0,0.0467437848540879,0,0,0.0276702315021887,0,0,0,0,0,0,0.0400248469520383,0.0187194238007073,0,0,0,0
14.txt,0,0,0,0,0,0.0122671984140937,0.0289426312079681,0,0,0,0.0492223041186439,0,0.0175184029711789,0,0,0,0,0,0,0,0,0,0,0,0,0.152653576667986,0,0,0,0.0127093078980036,0,0.0275220415496032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305307153335972,0,0,0.0289426312079681,0,0.0272790956754635,0,0,0,0,0,0,0.0266242126735426,0,0.0398765097261206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263328139358379,0,0.0146387553509702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262369618883888,0,0,0,0,0.0398765097261206,0,0,0,0.0587905104463343,0,0.0239845497434935,0.0492223041186439,0,0,0,0,0,0,0,0,0,0,0,0.00503613164609067,0,0,0,0,0,0.0368678359421265,0,0.0181762471570798,0,0,0.0229853422302551,0,0,0,0,0.0175184029711789,0,0,0,0,0,0.0162918185480176,0.0573496856052683,0,0,0.0425234962149508,0,0,0,0,0,0.0603629848267367,0.0398765097261206,0,0,0,0.0368678359421265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0797530194522411,0,0,0,0,0.0368678359421265,0.0263328139358379,0.025063776074521,0,0,0,0,0.0305307153335972,0,0,0,0.0437553648595677,0,0,0.122122861334389,0.0162918185480176,0.0628719267279905,0,0,0,0,0,0,0,0,0.025063776074521,0,0.0337823349917309,0,0,0.0437553648595677,0.0797530194522411,0,0.0878325321058211,0,0,0,0,0,0,0,0,0.0305307153335972,0,0.0305307153335972,0,0.0122671984140937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195968368154448,0.0292775107019404,0,0,0,0,0,0,0.048875455644053,0.0211849209410738,0,0,0,0.0203675112097623,0,0.0157106875886505,0.0661303009034334,0,0,0,0
15.txt,0,0,0,0,0,0.015262677096605,0,0,0,0,0,0.0612417039615686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158127435475161,0,0,0,0,0,0.174369220271269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360100178982859,0,0.0339402702008674,0,0,0,0,0,0,0.00828136847694493,0,0.0496137969848244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298412421227187,0,0,0,0,0,0,0,0,0,0,0,0,0.0163814598321782,0,0.0182133351459745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496137969848244,0,0,0,0,0,0.0298412421227187,0,0,0,0,0,0,0,0,0,0,0,0,0.00626588472246165,0,0,0,0,0,0.0458704470442737,0,0.0226146330907853,0,0,0.0285980420771779,0,0,0,0,0.0217961525339086,0,0,0,0,0,0.0202700533097429,0.063425492090581,0,0,0.0264535703197659,0,0,0,0,0,0.0469392396545119,0.0496137969848244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327629196643565,0,0,0,0,0,0,0,0,0.0428119074415552,0.0544398144182994,0,0,0.0759717800161605,0.0202700533097429,0.234673121856802,0,0,0,0.0326436618843907,0.0612417039615686,0,0,0.0285980420771779,0,0,0.0630472647229397,0,0,0.0544398144182994,0.148841390954473,0,0.0546400054379236,0,0,0,0,0,0,0,0,0.0379858900080802,0,0,0,0.015262677096605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364266702919491,0,0,0,0.0342425400675295,0,0,0.0608101599292287,0.0263579830313361,0,0,0,0,0,0.0195470182789024,0,0,0,0,0
16.txt,0,0,0,0,0,0.0168280798757439,0,0,0,0,0.0675229043678833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139476507188347,0,0,0,0,0,0.0240316553578992,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397033530673409,0,0.0187106617774012,0,0,0,0,0,0,0.00913073960278543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180616095585555,0,0.0200813695199206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329018823404335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505751082795838,0,0.0249340826385582,0,0,0.0315311745979141,0,0,0,0,0.0240316553578992,0,0,0,0,0,0.0223490331363832,0.069930670766538,0,0,0.0291667570192291,0,0,0,0,0,0.0517535206447182,0.0547023915473705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036123219117111,0,0,0,0,0,0.0418818787268577,0,0,0,0.0600233851278685,0,0,0.0837637574537154,0.0223490331363832,0.258742159995961,0,0,0,0.0359917297699693,0.0675229043678833,0,0,0.0315311745979141,0,0,0.0231712169494565,0,0,0.0600233851278685,0.164107174642112,0,0.0602441085597619,0,0,0,0,0,0,0,0,0.0418818787268577,0,0,0,0.0168280798757439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0401627390398413,0,0,0,0,0,0,0.0670470994091496,0.0290613659063449,0,0,0,0.0279400474287764,0,0.0107759203332411,0,0,0,0,0
17.txt,0,0,0,0,0,0.0119326384573457,0.0281532867204781,0.0563065734409562,0.033471127636125,0.0281532867204781,0,0,0.15336565510223,0,0,0,0,0,0,0,0,0,0,0.100413382908375,0,0,0,0,0,0.0123626904098762,0,0,0,0,0,0.085203141723461,0.0314493783512482,0,0,0,0,0,0,0,0,0,0.0296980594608627,0,0,0,0,0.01326756016943,0,0,0.0358623495073413,0,0,0,0.0517961955648919,0,0,0,0,0.042562036727034,0,0.0358623495073413,0,0,0,0,0,0,0,0,0,0,0,0.0147539122810925,0,0,0,0,0.0233304256595801,0,0,0,0,0,0,0,0,0,0,0,0,0.0384219694245635,0,0.014239516568671,0.0255214083823419,0,0.0314493783512482,0,0,0.019062377629569,0,0,0,0,0,0,0,0,0,0,0,0,0.033471127636125,0,0,0,0,0,0,0,0.0255214083823419,0,0,0.019062377629569,0,0.0466608513191602,0,0.033471127636125,0,0,0,0,0,0,0,0,0,0,0.00489878260119729,0,0,0,0,0,0,0,0.0176805313255231,0,0.033471127636125,0.0223584692603391,0,0,0.033471127636125,0.0296980594608627,0.0170406283446922,0,0,0,0,0,0.0158474962239808,0.0433888025437838,0.0314493783512482,0,0.0103409411249994,0,0,0,0,0,0.0807354922057604,0.0387889685517718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387889685517718,0,0.0563065734409562,0,0,0,0.0256146462830424,0,0,0,0,0,0.0296980594608627,0,0.0358623495073413,0.033471127636125,0,0,0,0,0,0,0.033471127636125,0,0,0,0,0,0,0.0223584692603391,0,0,0,0,0,0,0,0,0.014239516568671,0.0183532638841029,0,0.033471127636125,0,0,0,0,0,0,0,0,0,0.0238652769146914,0,0,0,0.0358623495073413,0,0,0,0.0314493783512482,0,0.0314493783512482,0,0,0,0,0,0,0,0,0,0.028479033137342,0,0.0255214083823419,0,0.0267714404164322,0,0.0358623495073413,0.0316949924479616,0,0,0,0,0.0198120336313142,0,0.00764110714538912,0,0,0,0,0.033471127636125
18.txt,0,0,0,0,0,0.0117195556277502,0.0276505494576124,0.0553010989152248,0.032873428928337,0,0,0,0.117154319869759,0,0,0,0,0.0418020003569084,0,0,0,0,0,0.098620286785011,0,0.0291677369704902,0,0,0,0.0121419280811284,0,0.0262933789804245,0,0,0,0,0.0308877823092616,0,0,0,0,0,0,0,0,0,0.0583354739409804,0,0,0,0,0.0130306394521187,0,0.0836040007138169,0.0704439008179918,0,0,0,0.0508712635012331,0,0,0,0,0,0,0.0352219504089959,0,0,0,0,0,0,0,0,0,0,0,0.0144904495617873,0,0,0,0,0,0,0,0,0,0.0262933789804245,0,0,0,0,0,0,0,0.0251572418851309,0,0.0139852394870876,0.0250656689469429,0,0,0,0,0.0374439560580819,0,0,0,0,0,0,0,0,0,0,0,0,0.032873428928337,0,0.0250656689469429,0,0,0,0,0,0.0250656689469429,0,0.0751970068408287,0.0748879121161639,0,0.045827621831318,0.047024879827633,0.032873428928337,0,0,0,0,0,0,0,0,0,0,0.00481130434046163,0,0,0,0,0,0,0.0418020003569084,0.017364807551853,0,0,0.0219592108806902,0,0,0.032873428928337,0.0291677369704902,0,0,0,0,0,0,0.0155645052199811,0.0487017171409818,0.0308877823092616,0,0.010156281462053,0,0,0,0,0,0.0504596826286003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553010989152248,0,0,0,0.0125786209425654,0.0239448574997656,0,0,0,0,0.0291677369704902,0,0,0,0,0,0,0,0.0155645052199811,0.0300325721423883,0.032873428928337,0,0,0,0,0,0,0.0219592108806902,0,0,0,0,0,0,0,0,0.0139852394870876,0.0180255270290296,0,0.032873428928337,0,0,0,0,0,0.0291677369704902,0,0.0291677369704902,0,0.0117195556277502,0,0,0,0.0352219504089959,0,0,0,0.0308877823092616,0,0.0308877823092616,0,0,0,0.0239448574997656,0,0,0,0,0,0.0139852394870876,0,0.0250656689469429,0,0,0,0,0.0155645052199811,0,0,0,0,0.0194582473164693,0,0.00750465880350717,0.0421187035515915,0,0,0,0.032873428928337
